TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Paralomis,Paralomis,Trawl,high,destructive,590074,"Lobsters, crabs",demersal
Merluccius polli,Benguela hake,Trawl,high,destructive,600327,Medium bathydemersals (30 - 89 cm),demersal
Rapana,Sea snails,Other,low,non-destructive,590111,Other demersal invertebrates,demersal
Tellina,Tellins,Other,low,non-destructive,590262,Other demersal invertebrates,demersal
Lithodes maia,Stone king crab,Trawl,high,destructive,690399,"Lobsters, crabs",demersal
Caranx sexfasciatus,Bigeye trevally,Lines Non-tuna,low,non-destructive,601917,Large reef assoc. fish (>=90 cm),pelagic
Stenodus leucichthys,Inconnu,Trawl,high,destructive,602692,Large demersals (>=90 cm),demersal
Hyperoglyphe antarctica,Antarctic butterfish,Lines Non-tuna,low,non-destructive,600496,Large benthopelagics (>=90 cm),pelagic
Epinephelus summana,Summan grouper,Gillnet,high,non-destructive,607366,Medium reef assoc. fish (30 - 89 cm),pelagic
Clupeoids,Herrings sardines anchovies,Gillnet,high,non-destructive,NA,NA,pelagic
Rhinobatos planiceps,Pacific guitarfish,Trawl,high,destructive,600149,Small to medium rays (<90 cm),demersal
Etrumeus whiteheadi,Whiteheads round herring,Trawl midwater,high,non-destructive,601456,Small pelagics (<30 cm),pelagic
Mytilus,Mussels,Dredge,high,destructive,590117,Other demersal invertebrates,demersal
Chromis chromis,Damselfish,Lines Non-tuna,low,non-destructive,601706,Small reef assoc. fish (<30 cm),pelagic
Merluccius capensis,Shallow-water Cape hake,Trawl,high,destructive,601828,Large bathydemersals (>=90 cm),demersal
Menticirrhus,Kingcroakers,Trawl,high,destructive,502790,Medium demersals (30 - 89 cm),demersal
Hyporhamphus sajori,Japanese halfbeak,Purse seine Non-tuna,low,non-destructive,600305,Medium pelagics (30 - 89 cm),pelagic
Cromileptes altivelis,Humpback grouper,Lines Non-tuna,low,non-destructive,606457,Medium reef assoc. fish (30 - 89 cm),pelagic
Argentina sphyraena,Argentine,Trawl,high,destructive,600020,Medium pelagics (30 - 89 cm),demersal
Lethrinus xanthochilus,Yellowlip emperor,Gillnet,high,non-destructive,601852,Medium reef assoc. fish (30 - 89 cm),pelagic
Emmelichthys nitidus nitidus,Redbait,Trawl,high,destructive,600395,Medium bathydemersals (30 - 89 cm),demersal
Megalaspis cordyla,Torpedo scad,Purse seine Non-tuna,low,non-destructive,600384,Medium pelagics (30 - 89 cm),pelagic
Muraenolepis,Moray cods,Trawl,high,destructive,504054,Medium benthopelagics (30 - 89 cm),demersal
Plectropomus pessuliferus,Roving coralgrouper,Lines Non-tuna,low,non-destructive,607430,Large reef assoc. fish (>=90 cm),pelagic
Microgadus tomcod,Atlantic tomcod,Trawl,high,destructive,600316,Medium demersals (30 - 89 cm),demersal
Coryphaena,Coryphaena,Purse seine Non-tuna,low,non-destructive,500116,Large pelagics (>=90 cm),pelagic
Etrumeus whiteheadi,Whiteheads round herring,Trawl,high,destructive,601456,Small pelagics (<30 cm),demersal
Scomberomorus lineolatus,Streaked seerfish,Seine,high,non-destructive,600125,Large pelagics (>=90 cm),pelagic
Makaira nigricans,Atlantic blue marlin,Pole and Line Tuna,low,non-destructive,600216,Large pelagics (>=90 cm),pelagic
Chelon haematocheilus,So-iny (redlip) mullet,Lines Non-tuna,low,non-destructive,NA,NA,pelagic
Umbrina canosai,Argentine croaker,Trawl,high,destructive,600413,Medium demersals (30 - 89 cm),demersal
Trachurus picturatus,Blue jack mackerel,Trawl,high,destructive,601279,Medium benthopelagics (30 - 89 cm),demersal
Coregonus autumnalis,Arctic cisco,Trap,high,non-destructive,602669,Medium pelagics (30 - 89 cm),demersal
Micropogonias undulatus,Atlantic croaker,Gillnet,high,non-destructive,600408,Medium demersals (30 - 89 cm),demersal
Alosa alosa,Allis shad,Gillnet,high,non-destructive,600101,Medium pelagics (30 - 89 cm),pelagic
Spicara smaris,Picarel,Gillnet,high,non-destructive,601766,Small demersals (<30 cm),demersal
Alosa fallax,Twaite shad,Trawl midwater,high,non-destructive,605355,Medium pelagics (30 - 89 cm),pelagic
Pandalus jordani,Ocean shrimp,Trawl,high,destructive,690660,Shrimps,demersal
Morone americana,White perch,Gillnet,high,non-destructive,600355,Medium demersals (30 - 89 cm),demersal
Cancer productus,Pacific rock crab,Seine,high,non-destructive,690287,"Lobsters, crabs",demersal
Patella,Limpets,Dredge,high,destructive,590242,Other demersal invertebrates,demersal
Chaceon affinis,Deep-sea red crab,Trap,high,non-destructive,690753,"Lobsters, crabs",demersal
Zygochlamys patagonica,Patagonean scallop,Dredge,high,destructive,690686,Other demersal invertebrates,demersal
Aprion virescens,Green jobfish,Gillnet,high,non-destructive,600084,Large reef assoc. fish (>=90 cm),pelagic
Argyrops spinifer,King soldierbream,Trawl,high,destructive,600442,Medium demersals (30 - 89 cm),demersal
Bothidae,Lefteye flounders,Longline Non-tuna,high,non-destructive,400439,Small to medium flatfishes (<90 cm),demersal
Caulolatilus chrysops,Atlantic goldeye tilefish,Trawl midwater,high,non-destructive,600983,Medium demersals (30 - 89 cm),pelagic
Chelidonichthys lucerna,Tub gurnard,Lines Non-tuna,low,non-destructive,601366,Medium demersals (30 - 89 cm),demersal
Caranx sexfasciatus,Bigeye trevally,Trawl,high,destructive,601917,Large reef assoc. fish (>=90 cm),demersal
Spicara maena,Blotched picarel,Seine,high,non-destructive,604887,Small demersals (<30 cm),demersal
Carcharhinus limbatus,Blacktip shark,Longline Non-tuna,high,non-destructive,600874,Large sharks (>=90 cm),pelagic
Jasus lalandii,Cape rock lobster,Trap,high,non-destructive,690069,"Lobsters, crabs",demersal
Melicertus latisulcatus,Western king prawn,Trawl,high,destructive,690432,Shrimps,demersal
Urophycis tenuis,White hake,Trawl,high,destructive,600313,Large demersals (>=90 cm),demersal
Lepidorhynchus denticulatus,Thorntooth grenadier,Trawl,high,destructive,608483,Medium bathypelagics (30 - 89 cm),demersal
Rhabdosargus globiceps,White stumpnose,Trawl midwater,high,non-destructive,600449,Medium benthopelagics (30 - 89 cm),pelagic
Pyura stolonifera,Red bait,Other,low,non-destructive,690318,Other demersal invertebrates,demersal
Balistes capriscus,Grey triggerfish,Seine,high,non-destructive,607327,Medium benthopelagics (30 - 89 cm),pelagic
Micropogonias,Western croakers,Trawl midwater,high,non-destructive,501327,Medium demersals (30 - 89 cm),pelagic
Ephippidae,Spadefishes batfishes and scats,Lines Non-tuna,low,non-destructive,400340,Medium reef assoc. fish (30 - 89 cm),pelagic
Archosargus probatocephalus,Sheepshead seabream,Trawl,high,destructive,600441,Medium demersals (30 - 89 cm),demersal
Engraulis capensis,Cape anchovy,Trawl midwater,high,non-destructive,601661,Small pelagics (<30 cm),pelagic
Epigonus,Cardinalfishes,Lines Non-tuna,low,non-destructive,500716,Large reef assoc. fish (>=90 cm),pelagic
Scorpaena scrofa,Largescaled scorpionfish,Lines Non-tuna,low,non-destructive,601759,Medium demersals (30 - 89 cm),demersal
Panulirus homarus,Scalloped spiny lobster,Trap,high,non-destructive,690341,"Lobsters, crabs",demersal
Coryphaena,Coryphaena,Purse seine Tuna,low,non-destructive,500116,Large pelagics (>=90 cm),pelagic
Chlamys delicatula,Delicate scallop,Other,low,non-destructive,690679,Other demersal invertebrates,demersal
Nemipterus japonicus,Japanese threadfin bream,Trawl,high,destructive,604559,Small demersals (<30 cm),demersal
Lutjanus griseus,Grey snapper,Lines Non-tuna,low,non-destructive,600266,Medium reef assoc. fish (30 - 89 cm),pelagic
Bregmaceros mcclellandi,Spotted codlet,Gillnet,high,non-destructive,608421,Small pelagics (<30 cm),pelagic
Petrus rupestris,Red steenbras,Lines Non-tuna,low,non-destructive,600447,Large demersals (>=90 cm),demersal
Acanthistius brasilianus,Sea bass,Trawl,high,destructive,600351,Medium benthopelagics (30 - 89 cm),demersal
Platax,Batfishes,Lines Non-tuna,low,non-destructive,500934,Medium reef assoc. fish (30 - 89 cm),pelagic
Salvelinus malma malma,Dolly varden,Purse seine Non-tuna,low,non-destructive,602691,Large benthopelagics (>=90 cm),pelagic
Menippe mercenaria,Black stone crab,Seine,high,non-destructive,690047,"Lobsters, crabs",demersal
Coregonus laurettae,Bering cisco,Purse seine Non-tuna,low,non-destructive,646941,Medium pelagics (30 - 89 cm),pelagic
Plesiopenaeus edwardsianus,Scarlet shrimp,Trawl,high,destructive,690343,Shrimps,demersal
Oxynotus centrina,Angular roughshark,Gillnet,high,non-destructive,600718,Large sharks (>=90 cm),pelagic
Myliobatidae,Eagle and manta rays,Lines Non-tuna,low,non-destructive,400022,Large rays (>=90 cm),pelagic
Herklotsichthys quadrimaculatus,Bluestripe herring,Trawl,high,destructive,601494,Small pelagics (<30 cm),demersal
Atheresthes stomias,Arrowtooth flounder,Gillnet,high,non-destructive,600517,Small to medium flatfishes (<90 cm),demersal
Terapon jarbua,Jarbua terapon,Gillnet,high,non-destructive,604458,Medium demersals (30 - 89 cm),demersal
Sebastes paucispinis,Bocaccio,Gillnet,high,non-destructive,603987,Medium reef assoc. fish (30 - 89 cm),pelagic
Trachipterus,Deaf fishes,Trawl,high,destructive,500211,Large bathypelagics (>=90 cm),demersal
Spisula solida,Surf clam,Dredge,high,destructive,690671,Other demersal invertebrates,demersal
Atherinidae,Silversides,Other,low,non-destructive,400218,Small pelagics (<30 cm),pelagic
Tresus,Gaper clams,Trap,high,non-destructive,590269,Other demersal invertebrates,demersal
Tautogolabrus adspersus,Cunner,Lines Non-tuna,low,non-destructive,603672,Medium reef assoc. fish (30 - 89 cm),pelagic
Ruditapes philippinarum,Japanese carpet shell,Dredge,high,destructive,690196,Other demersal invertebrates,demersal
Metanephrops andamanicus,Andaman lobster,Trawl,high,destructive,690013,"Lobsters, crabs",demersal
Pseudocyttus maculatus,Smooth oreo,Trawl midwater,high,non-destructive,607151,Medium benthopelagics (30 - 89 cm),pelagic
Hexanchus griseus,Bluntnose sixgill shark,Trawl,high,destructive,600637,Large sharks (>=90 cm),demersal
Paracentrotus lividus,Stony sea urchin,Dredge,high,destructive,690400,Other demersal invertebrates,demersal
Paralichthys olivaceus,Bastard halibut,Gillnet,high,non-destructive,601351,Large flatfishes (>=90 cm),demersal
Epinephelus chlorostigma,Brownspotted grouper,Trap,high,non-destructive,605524,Medium reef assoc. fish (30 - 89 cm),demersal
Atractoscion nobilis,White weakfish,Lines Non-tuna,low,non-destructive,603578,Large demersals (>=90 cm),demersal
Halobatrachus didactylus,Lusitanian toadfish,Trawl midwater,high,non-destructive,605429,Medium demersals (30 - 89 cm),pelagic
Lethrinus mahsena,Sky emperor,Gillnet,high,non-destructive,601843,Medium reef assoc. fish (30 - 89 cm),pelagic
Anoplopoma fimbria,Sablefish,Seine,high,non-destructive,600512,Large bathydemersals (>=90 cm),demersal
Pampus,Silver pomfrets,Trap,high,non-destructive,520007,Medium benthopelagics (30 - 89 cm),demersal
Ommastrephidae,Arrow squids,Lines Non-tuna,low,non-destructive,490004,Cephalopods,pelagic
Perna viridis,Brown mussel,Dredge,high,destructive,690060,Other demersal invertebrates,demersal
Coregonus muksun,Muksun,Gillnet,high,non-destructive,612547,Large benthopelagics (>=90 cm),pelagic
Chrysoblephus,Seabreams,Trawl,high,destructive,501548,Medium demersals (30 - 89 cm),demersal
Chloroscombrus chrysurus,Atlantic bumper,Lines Non-tuna,low,non-destructive,600385,Medium pelagics (30 - 89 cm),pelagic
Menticirrhus saxatilis,Northern kingcroaker,Purse seine Non-tuna,low,non-destructive,600410,Medium demersals (30 - 89 cm),pelagic
Argopecten gibbus,Calico scallop,Dredge,high,destructive,690065,Other demersal invertebrates,demersal
Anodontostoma chacunda,Chacunda gizzard shad,Trawl,high,destructive,601619,Small pelagics (<30 cm),demersal
Cancer irroratus,Atlantic rock crab,Trap,high,non-destructive,690031,"Lobsters, crabs",demersal
Seriolina nigrofasciata,Blackbanded trevally,Gillnet,high,non-destructive,601962,Medium reef assoc. fish (30 - 89 cm),pelagic
Pseudopleuronectes herzensteini,Littlemouth flounder,Trawl,high,destructive,608556,Small to medium flatfishes (<90 cm),demersal
Argyrozona argyrozona,Carpenter seabream,Trawl midwater,high,non-destructive,600443,Medium benthopelagics (30 - 89 cm),pelagic
Lophius,Monkfishes,Trap,high,non-destructive,500112,Medium bathydemersals (30 - 89 cm),demersal
Panopea abrupta,Pacific geoduck,Dredge,high,destructive,690284,Other demersal invertebrates,demersal
Mullus surmuletus,Striped red mullet,Trawl,high,destructive,601327,Medium demersals (30 - 89 cm),demersal
Arripis trutta,Eastern Australian salmon,Seine,high,non-destructive,605048,Medium pelagics (30 - 89 cm),pelagic
Dussumieria elopsoides,Slender rainbow sardine,Gillnet,high,non-destructive,601454,Small pelagics (<30 cm),pelagic
Sebastes paucispinis,Bocaccio,Lines Non-tuna,low,non-destructive,603987,Medium reef assoc. fish (30 - 89 cm),pelagic
Arripis georgianus,Australian ruff,Gillnet,high,non-destructive,600392,Medium pelagics (30 - 89 cm),pelagic
Scophthalmus aquosus,Windowpane,Trawl,high,destructive,600530,Small to medium flatfishes (<90 cm),demersal
Scyliorhinus stellaris,Nursehound,Trawl,high,destructive,600854,Large sharks (>=90 cm),demersal
Sebastolobus alascanus,Shortspine thornyhead,Gillnet,high,non-destructive,604009,Medium bathydemersals (30 - 89 cm),demersal
Molva,Lings,Gillnet,high,non-destructive,501096,Large demersals (>=90 cm),demersal
Trachinidae,Weeverfishes,Trawl,high,destructive,400377,Medium demersals (30 - 89 cm),demersal
Acanthopagrus latus,Yellowfin seabream,Trawl midwater,high,non-destructive,606356,Medium demersals (30 - 89 cm),pelagic
Epinephelus areolatus,Areolate grouper,Trawl,high,destructive,605367,Medium reef assoc. fish (30 - 89 cm),demersal
Lutjanus quinquelineatus,Five-lined snapper,Gillnet,high,non-destructive,600172,Medium reef assoc. fish (30 - 89 cm),pelagic
Scombroids,Tunas bonitos billfishes,Trap,high,non-destructive,NA,NA,demersal
Cephalopholis boenak,Chocolate hind,Other,low,non-destructive,606444,Small reef assoc. fish (<30 cm),pelagic
Cynoscion analis,Peruvian weakfish,Lines Non-tuna,low,non-destructive,600403,Medium demersals (30 - 89 cm),demersal
Etelis oculatus,Queen snapper,Lines Non-tuna,low,non-destructive,601391,Medium bathydemersals (30 - 89 cm),demersal
Sillago sihama,Silver sillago,Longline Non-tuna,high,non-destructive,604544,Medium demersals (30 - 89 cm),demersal
Gadiformes,Cods,Seine,high,non-destructive,300044,Large bathypelagics (>=90 cm),pelagic
Trachurus picturatus,Blue jack mackerel,Seine,high,non-destructive,601279,Medium benthopelagics (30 - 89 cm),pelagic
Thenus orientalis,Flathead lobster,Trawl,high,destructive,690681,"Lobsters, crabs",demersal
Leucoraja circularis,Sandy ray,Trawl,high,destructive,607614,Large rays (>=90 cm),demersal
Gnathanodon speciosus,Golden trevally,Gillnet,high,non-destructive,604464,Large reef assoc. fish (>=90 cm),pelagic
Protothaca staminea,Pacific littleneck clam,Dredge,high,destructive,690285,Other demersal invertebrates,demersal
Atherinidae,Silversides,Seine,high,non-destructive,400218,Small pelagics (<30 cm),pelagic
Decapterus russelli,Indian scad,Purse seine Non-tuna,low,non-destructive,600374,Medium pelagics (30 - 89 cm),pelagic
Lampanyctodes hectoris,Hectors lanternfish,Purse seine Non-tuna,low,non-destructive,600259,Small pelagics (<30 cm),pelagic
Atrobucca nibe,Longfin kob,Trap,high,non-destructive,600941,Medium demersals (30 - 89 cm),demersal
Squatina argentina,Argentine angelshark,Trawl,high,destructive,600727,Large sharks (>=90 cm),demersal
Pagrus caeruleostictus,Bluespotted seabream,Lines Non-tuna,low,non-destructive,604540,Large benthopelagics (>=90 cm),pelagic
Chelon labrosus,Thicklip grey mullet,Gillnet,high,non-destructive,602499,Medium demersals (30 - 89 cm),demersal
Engraulis encrasicolus,European anchovy,Seine,high,non-destructive,600066,Small pelagics (<30 cm),pelagic
Coregonus albula,Vendace,Purse seine Non-tuna,low,non-destructive,600231,Medium pelagics (30 - 89 cm),pelagic
Thunnus orientalis,Pacific bluefin tuna,Purse seine Non-tuna,low,non-destructive,614290,Large pelagics (>=90 cm),pelagic
Perna perna,South American rock mussel,Dredge,high,destructive,690374,Other demersal invertebrates,demersal
Thunnus,Tuna,LonglineTuna,high,non-destructive,501905,Large pelagics (>=90 cm),pelagic
Dasyatis akajei,Red stingray,Lines Non-tuna,low,non-destructive,600940,Large rays (>=90 cm),pelagic
Menticirrhus saxatilis,Northern kingcroaker,Gillnet,high,non-destructive,600410,Medium demersals (30 - 89 cm),demersal
Psenopsis anomala,Melon seed,Trawl,high,destructive,600497,Small benthopelagics (<30 cm),demersal
Oncorhynchus masou masou,Cherry salmon,Purse seine Non-tuna,low,non-destructive,600242,Medium benthopelagics (30 - 89 cm),pelagic
Oxynotus centrina,Angular roughshark,Trawl,high,destructive,600718,Large sharks (>=90 cm),demersal
Modiolus,Horse mussels,Other,low,non-destructive,590116,Other demersal invertebrates,demersal
Paralithodes,King crabs,Trap,high,non-destructive,590073,"Lobsters, crabs",demersal
Centropomus,Snooks,Trap,high,non-destructive,500504,Large reef assoc. fish (>=90 cm),demersal
Mola mola,Ocean sunfish,LonglineTuna,high,non-destructive,601732,Large pelagics (>=90 cm),pelagic
Epinephelus nigritus,Warsaw grouper,Lines Non-tuna,low,non-destructive,NA,NA,demersal
Urophycis tenuis,White hake,Gillnet,high,non-destructive,600313,Large demersals (>=90 cm),demersal
Sphoeroides maculatus,Northern puffer,Purse seine Non-tuna,low,non-destructive,601181,Medium demersals (30 - 89 cm),pelagic
